Policy,Eligibility
"[[1], [1, 1], [1, 1, 1], [1, 0, 0, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]1,0,3,2",-167.8620508807586
"[[1], [0, 1], [1, 0, 1], [1, 0, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]4,3,2,1",-42.00344296896519
"[[1], [0, 1], [1, 1, 1], [1, 0, 0, 1], [1, 1, 1, 0, 1], [1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]5,1,3,1",-10.458115428049297
"[[1], [0, 1], [1, 1, 1], [1, 1, 0, 1], [1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]5,2,3,2",-10.398209125391364
"[[1], [0, 1], [1, 1, 1], [1, 1, 1, 1], [1, 0, 0, 0, 1], [1, 0, 0, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [1]]7,0,5,2",-10.396185982408852
"[[1], [0, 1], [1, 1, 1], [1, 1, 1, 1], [1, 0, 0, 0, 1], [1, 0, 1, 1, 1, 1], [1, 0, 1, 1, 1], [0, 1, 1, 1], [1, 1, 1], [1, 1], [1]]9,0,7,0",-10.32717477931863
"[[1], [0, 1], [1, 1, 1], [1, 1, 1, 1], [1, 0, 0, 0, 1], [1, 0, 1, 1, 1, 1], [1, 0, 1, 1, 1], [1, 1, 1, 1], [0, 1, 1], [0, 1], [1]]2,0,4,2",-10.334308271881074
"[[1], [0, 1], [0, 1, 1], [1, 0, 1, 1], [1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 1], [1, 0, 1, 1, 1], [1, 1, 1, 1], [0, 1, 1], [0, 1], [1]]1,1,3,1",-10.32870041685158
"[[1], [0, 0], [0, 0, 1], [1, 1, 1, 1], [1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 1], [1, 0, 1, 1, 1], [1, 1, 1, 1], [0, 1, 1], [0, 1], [1]]3,3,1,1",-10.349215236438722
"[[1], [0, 1], [0, 0, 0], [1, 1, 1, 0], [1, 0, 1, 0, 1], [1, 0, 1, 1, 1, 1], [1, 0, 1, 1, 1], [1, 1, 1, 1], [0, 1, 1], [0, 1], [1]]6,2,4,1",-10.22976267532888
"[[1], [0, 1], [0, 0, 0], [1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 1], [1, 0, 0, 1, 1], [1, 1, 1, 1], [0, 1, 1], [0, 1], [1]]6,0,8,0",-10.238699695308656
"[[1], [0, 1], [0, 0, 0], [1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [0, 1, 1, 1], [1, 1, 1], [0, 1], [1]]7,2,9,0",-10.226128713653639
"[[1], [0, 1], [0, 0, 0], [1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 0, 0, 1, 1, 1], [0, 0, 0, 1, 1], [0, 1, 0, 1], [1, 0, 1], [1, 1], [1]]5,4,7,2",-10.247886257699534
"[[1], [0, 1], [0, 0, 0], [1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1], [0, 1, 1, 1], [1, 0, 1], [1, 1], [1]]0,0,2,2",-10.19802321011585
"[[0], [0, 0], [0, 0, 1], [1, 1, 1, 0], [1, 1, 1, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1], [0, 1, 1, 1], [1, 0, 1], [1, 1], [1]]4,1,2,1",-10.245461136139781
"[[0], [0, 0], [0, 1, 1], [1, 0, 1, 0], [1, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1], [0, 1, 1, 1], [1, 0, 1], [1, 1], [1]]2,2,2,0",-10.204457860502243
"[[0], [0, 0], [1, 0, 0], [1, 0, 1, 0], [1, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1], [0, 1, 1, 1], [1, 0, 1], [1, 1], [1]]8,2,6,2",-10.146781698306754
"[[0], [0, 0], [1, 0, 0], [1, 0, 1, 0], [1, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 1, 0, 1], [0, 1, 0, 1], [1, 0, 0], [1, 1], [1]]10,0,8,2",-10.189080869950487
"[[0], [0, 0], [1, 0, 0], [1, 0, 1, 0], [1, 0, 1, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 1, 0, 1], [0, 1, 0, 1], [1, 0, 1], [1, 0], [0]]4,2,2,2",-10.146473323460787
"[[0], [0, 0], [1, 0, 1], [1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 1, 0, 1], [0, 1, 0, 1], [1, 0, 1], [1, 0], [0]]8,0,10,0",-10.162192927107721
"[[0], [0, 0], [1, 0, 1], [1, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 1, 0, 1], [0, 1, 0, 1], [0, 0, 1], [0, 0], [1]]3,0,1,0",-10.096939108538077
"[[0], [1, 0], [0, 0, 1], [0, 0, 0, 0], [1, 0, 0, 0, 1], [1, 0, 0, 1, 0, 1], [0, 0, 1, 0, 1], [0, 1, 0, 1], [0, 0, 1], [0, 0], [1]]5,0,3,0",-10.120214427105054
"[[0], [1, 0], [0, 0, 1], [1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 1], [0, 0, 1, 0, 1], [0, 1, 0, 1], [0, 0, 1], [0, 0], [1]]5,5,3,3",-10.088027561107724
"[[0], [1, 0], [0, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 1, 0, 1], [0, 0, 1], [0, 0], [1]]7,3,9,1",-10.038719796270355
"[[0], [1, 0], [0, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 1, 0, 0], [0, 0, 0], [0, 1], [1]]10,0,8,2",-10.078721359452679
"[[0], [1, 0], [0, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 1, 0, 1], [0, 1, 0, 0], [0, 0, 1], [0, 0], [0]]6,2,8,0",-10.022243347876847
"[[0], [1, 0], [0, 0, 1], [1, 0, 0, 1], [0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0], [1, 0, 1], [0, 0], [0]]2,2,4,4",-10.024775413474917
"[[0], [1, 0], [0, 0, 0], [1, 0, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1], [0, 0, 0, 0], [1, 0, 1], [0, 0], [0]]None",-9.990146852419317
