stateHash,stateValue
<SimWorld.SAP object at 0x000001DCB5EDC108>,-0.2822108004408523
<SimWorld.SAP object at 0x000001DCB75EF208>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB75E1988>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB75DAC88>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB75D20C8>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB75D1908>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB75CDEC8>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB75C1508>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB75FFB88>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB75FFBC8>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB75F1808>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB805CE48>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB80504C8>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB805DB08>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB8062188>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB80697C8>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB806ADC8>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB8078488>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB8079A88>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB8084108>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB8087788>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB8085DC8>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB5FA3548>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB5FA6A88>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB5FAF108>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB5FB2748>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB5FABD88>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB5FBE408>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB5FC2A48>,-7.144929
<SimWorld.SAP object at 0x000001DCB5FC0FC8>,-8.019
<SimWorld.SAP object at 0x000001DCB5FCF648>,-9.0
<SimWorld.SAP object at 0x000001DCB5EDC048>,-0.2822108004408523
<SimWorld.SAP object at 0x000001DCB5EDC148>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB5FE0A08>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB5FEE388>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB5FF0AC8>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB5FEBFC8>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB5FFC7C8>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB5FF1E08>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB6005388>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB60053C8>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB6006FC8>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB6019648>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB600CC88>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB6025308>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB6028948>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB6027F88>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB6033608>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB6031C48>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB60402C8>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB6043908>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB6041F48>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB604F6C8>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB6051D08>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB605E288>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB60609C8>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB6060F48>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB6061F48>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB6067EC8>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB606BC08>,-7.144929
<SimWorld.SAP object at 0x000001DCB6070848>,-8.019
<SimWorld.SAP object at 0x000001DCB6079588>,-9.0
<SimWorld.SAP object at 0x000001DCB5FC7E48>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB5FC7C48>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB6088BC8>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB6090E88>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB608DE48>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB6095C08>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB60A2908>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB60A9448>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB60A9F88>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB609CE08>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB60AEB88>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB60B98C8>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB60C0608>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB60C7348>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB60C7F88>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB60CBD88>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB60D1AC8>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB60D7808>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB60DF748>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB60E6488>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB60E6F88>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB60E4CC8>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB60EAA08>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB60F6748>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB60FD488>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB60FDE88>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB6100EC8>,-7.144929
<SimWorld.SAP object at 0x000001DCB6104C08>,-8.019
<SimWorld.SAP object at 0x000001DCB610E848>,-9.0
<SimWorld.SAP object at 0x000001DCB6080608>,-0.25144982319279935
<SimWorld.SAP object at 0x000001DCB6080788>,-0.2822108004408523
<SimWorld.SAP object at 0x000001DCB70F1E48>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB70F6FC8>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB70FBF88>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB70FEF48>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB7108C48>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB710E988>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB71144C8>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB7114548>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB711BEC8>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB7119C08>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB7125948>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB7126688>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB71323C8>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB7132FC8>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB7136E08>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB713BB48>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB7144888>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB714A5C8>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB7150308>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB7150F48>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB7148F48>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB715CC88>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB71637C8>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB7167488>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB7170448>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB7170F48>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB7175C88>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB717B8C8>,-7.144929
<SimWorld.SAP object at 0x000001DCB7182708>,-8.019
<SimWorld.SAP object at 0x000001DCB7187348>,-9.0
<SimWorld.SAP object at 0x000001DCB61158C8>,-0.2822108004408523
<SimWorld.SAP object at 0x000001DCB6115A48>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB7194D48>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB719DD08>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB719FA48>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB71A9888>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB71B0508>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB71B62C8>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB71B6FC8>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB71A8C88>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB71C0988>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB71C7748>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB71CD488>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB71CDE88>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB71BCEC8>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB71D4C08>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB71DE948>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB71E5688>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB71EB3C8>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB71EBFC8>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB71F3F48>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB71F1D48>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB71F7888>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB72055C8>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB720B308>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB720BF48>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB720DD48>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB7212A88>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB721D7C8>,-7.144929
<SimWorld.SAP object at 0x000001DCB7223408>,-8.019
<SimWorld.SAP object at 0x000001DCB72290C8>,-9.0
<SimWorld.SAP object at 0x000001DCB718B3C8>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB718B548>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB7236F48>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB723FD88>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB72458C8>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB724C888>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB7253588>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB7253F88>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB7252DC8>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB7252E48>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB7263808>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB7269548>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB7271288>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB7271F88>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB7273CC8>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB7279988>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB7282748>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB7288488>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB7288E88>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB728BEC8>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB728FE08>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB729AB48>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB72A0888>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB72A75C8>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB72A7FC8>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB7290E08>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB72B2B48>,-6.366131739000001
<SimWorld.SAP object at 0x000001DCB72B1888>,-7.144929
<SimWorld.SAP object at 0x000001DCB72BF4C8>,-8.019
<SimWorld.SAP object at 0x000001DCB72C7188>,-9.0
<SimWorld.SAP object at 0x000001DCB722A1C8>,-0.2822108004408523
<SimWorld.SAP object at 0x000001DCB722A348>,-0.31673490509635494
<SimWorld.SAP object at 0x000001DCB72D2F48>,-0.3554824973023064
<SimWorld.SAP object at 0x000001DCB72DAE48>,-0.39897025510921025
<SimWorld.SAP object at 0x000001DCB72E1B88>,-0.4477780640956344
<SimWorld.SAP object at 0x000001DCB72E8948>,-0.5025567498267501
<SimWorld.SAP object at 0x000001DCB72ED448>,-0.5640367562589788
<SimWorld.SAP object at 0x000001DCB72EDF88>,-0.6330378858125464
<SimWorld.SAP object at 0x000001DCB72ECE08>,-0.7104802309905122
<SimWorld.SAP object at 0x000001DCB72ECF08>,-0.7973964433114615
<SimWorld.SAP object at 0x000001DCB72FE8C8>,-0.8949455031554001
<SimWorld.SAP object at 0x000001DCB7305608>,-1.0044281741362515
<SimWorld.SAP object at 0x000001DCB730B348>,-1.1273043480766012
<SimWorld.SAP object at 0x000001DCB730BF88>,-1.2652125118704836
<SimWorld.SAP object at 0x000001DCB7310D88>,-1.4199915958142353
<SimWorld.SAP object at 0x000001DCB7313AC8>,-1.5937054947410048
<SimWorld.SAP object at 0x000001DCB731F808>,-1.78867058893491
<SimWorld.SAP object at 0x000001DCB73234C8>,-2.0074866318012456
<SimWorld.SAP object at 0x000001DCB75E13C8>,-2.253071416163014
<SimWorld.SAP object at 0x000001DCB75D29C8>,-2.5286996814399707
<SimWorld.SAP object at 0x000001DCB75C7848>,-2.838046780516241
<SimWorld.SAP object at 0x000001DCB75F5208>,-3.1852376885704166
<SimWorld.SAP object at 0x000001DCB8058948>,-3.574902007374205
<SimWorld.SAP object at 0x000001DCB805F408>,-4.012235698512014
<SimWorld.SAP object at 0x000001DCB8070B08>,-4.503070368700352
<SimWorld.SAP object at 0x000001DCB807B648>,-5.05395103108906
<SimWorld.SAP object at 0x000001DCB8087888>,-5.672223379449001
<SimWorld.SAP object at 0x000001DCB5FA5808>,-6.366131739000001
