stateHash,stateValue
"[[1], [1, 0], [1, 1, 1], [1, 1, 1, 1], [1, 0, 1], [1, 1], [1]]",1.7960524111619007
"[[1], [1, 0], [0, 1, 1], [1, 0, 1, 1], [1, 1, 1], [1, 1], [1]]",-0.4937388574867225
"[[1], [1, 0], [0, 1, 1], [1, 1, 1, 1], [1, 0, 1], [1, 0], [1]]",-0.24194035290317734
"[[1], [1, 0], [0, 1, 1], [1, 1, 1, 0], [1, 0, 0], [1, 1], [1]]",-0.10879159226745068
"[[1], [1, 0], [0, 1, 1], [1, 0, 0, 1], [1, 0, 0], [1, 1], [1]]",-5.728494426882913
"[[0], [0, 0], [1, 1, 1], [1, 0, 0, 1], [1, 0, 0], [1, 1], [1]]",-0.17585872502504568
"[[0], [1, 0], [0, 1, 1], [0, 0, 0, 1], [1, 0, 0], [1, 1], [1]]",4.2612659000000015
"[[0], [1, 1], [0, 1, 0], [0, 0, 0, 0], [1, 0, 0], [1, 1], [1]]",4.8458510000000015
"[[0], [0, 1], [0, 0, 0], [0, 0, 1, 0], [1, 0, 0], [1, 1], [1]]",5.495390000000001
"[[0], [0, 1], [0, 0, 0], [0, 0, 1, 0], [1, 0, 1], [1, 0], [0]]",0.3449029579532862
"[[0], [0, 1], [0, 1, 0], [0, 0, 0, 0], [1, 0, 0], [1, 0], [0]]",6.307873058369847
"[[0], [0, 1], [0, 1, 0], [1, 0, 0, 0], [0, 0, 0], [0, 0], [0]]",7.91
"[[0], [0, 0], [0, 0, 0], [1, 1, 0, 0], [0, 0, 0], [0, 0], [0]]",8.9
"[[0], [0, 0], [0, 0, 0], [0, 0, 1, 0], [0, 0, 0], [0, 0], [0]]",10.0
"[[0], [1, 1], [1, 1, 1], [1, 1, 1, 1], [1, 0, 1], [1, 1], [1]]",1.7960524111619007
"[[1], [0, 1], [0, 1, 1], [1, 1, 1, 1], [1, 0, 1], [1, 1], [1]]",-0.7598689013819429
"[[1], [1, 1], [0, 0, 1], [1, 1, 0, 1], [1, 0, 1], [1, 1], [1]]",-0.4289347022084246
"[[0], [0, 1], [1, 0, 1], [1, 1, 0, 1], [1, 0, 1], [1, 1], [1]]",-0.7234335815803007
"[[0], [0, 1], [0, 0, 1], [1, 0, 0, 1], [1, 1, 1], [1, 1], [1]]",-0.24418543742061488
"[[1], [0, 0], [0, 0, 0], [1, 0, 0, 1], [1, 1, 1], [1, 1], [1]]",-1.1119932488537239
"[[1], [0, 0], [0, 0, 0], [1, 0, 1, 1], [1, 0, 1], [0, 1], [1]]",-5.273414783970642
"[[1], [0, 0], [0, 0, 0], [0, 0, 1, 1], [0, 0, 1], [1, 1], [1]]",-8.199638889125591
"[[1], [0, 0], [0, 0, 0], [0, 1, 0, 0], [0, 0, 1], [1, 1], [1]]",-3.1065958348282456
"[[1], [0, 0], [0, 0, 0], [0, 1, 0, 0], [1, 0, 1], [0, 1], [0]]",-7.681717971810455
"[[1], [0, 0], [0, 1, 0], [0, 0, 0, 0], [0, 0, 1], [0, 1], [0]]",-8.279999999999992
"[[1], [0, 0], [0, 1, 0], [0, 0, 0, 0], [0, 0, 0], [0, 0], [1]]",-10.0
"[[1], [1, 1], [1, 1, 1], [1, 0, 1, 1], [1, 1, 1], [1, 0], [1]]",-0.5088218129864439
"[[1], [1, 1], [1, 1, 1], [1, 0, 1, 0], [1, 1, 0], [1, 1], [1]]",-0.2964457534532721
"[[1], [1, 0], [1, 0, 1], [1, 1, 1, 0], [1, 1, 0], [1, 1], [1]]",-0.18923063263043377
"[[1], [1, 0], [1, 1, 1], [1, 0, 1, 0], [0, 1, 0], [1, 1], [1]]",-0.10978640977758386
"[[1], [1, 0], [1, 0, 1], [1, 0, 0, 0], [0, 1, 1], [1, 1], [1]]",-0.10539
"[[1], [1, 0], [1, 0, 1], [1, 0, 0, 0], [1, 0, 0], [1, 1], [1]]",-1.0737864000000001
"[[1], [1, 0], [1, 0, 1], [1, 0, 0, 0], [1, 0, 1], [1, 0], [0]]",-7.5024
"[[1], [1, 0], [1, 0, 1], [1, 0, 0, 0], [0, 0, 1], [0, 0], [1]]",-9.9
"[[0], [1, 1], [1, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [0]]",1.7960524111619007
"[[1], [0, 1], [0, 1, 1], [1, 1, 1, 1], [1, 1, 1], [1, 1], [0]]",2.1067249012910008
"[[1], [0, 1], [1, 0, 0], [1, 1, 1, 1], [1, 1, 1], [1, 1], [0]]",-0.2797237218415248
"[[1], [0, 1], [1, 0, 0], [1, 1, 1, 1], [1, 1, 0], [1, 0], [1]]",-0.2735945862548374
"[[0], [0, 0], [1, 0, 1], [1, 1, 1, 1], [1, 1, 0], [1, 0], [1]]",-0.6702446282136474
"[[0], [1, 0], [0, 0, 1], [0, 1, 1, 1], [1, 1, 0], [1, 0], [1]]",-0.2023159891810406
"[[0], [1, 0], [0, 1, 1], [0, 0, 1, 1], [0, 1, 0], [1, 0], [1]]",-0.098953659
"[[0], [1, 0], [0, 0, 1], [0, 0, 0, 1], [0, 1, 1], [1, 0], [1]]",-0.09948509999999999
"[[0], [1, 1], [0, 0, 0], [0, 0, 0, 0], [0, 1, 1], [1, 0], [1]]",-8.26640829
"[[0], [1, 1], [0, 0, 0], [0, 0, 1, 0], [0, 0, 1], [0, 0], [1]]",-8.289999156392923
